mode,frequency_hz,shots_per_term_independent,matched_total_shots,nonidentity_pauli_terms,qwc_groups,independent_analytic_rmse_pct,qwc_optimal_floor_rmse_pct,rmse_improvement_factor
1,4.481363203242099,100,1900,19,8,72.26695721368935,26.20827917076098,2.7574094713670974
1,4.481363203242099,1000,19000,19,8,22.852818436519396,8.28778557331537,2.7574094713670982
1,4.481363203242099,10000,190000,19,8,7.2266957213689365,2.620827917076098,2.7574094713670982
1,4.481363203242099,100000,1900000,19,8,2.2852818436519398,0.828778557331537,2.7574094713670982
2,12.268097140497503,100,1900,19,8,10.698542597512539,4.33811573869189,2.466172698457917
2,12.268097140497503,1000,19000,19,8,3.3831762252473685,1.371832648769021,2.466172698457917
2,12.268097140497503,10000,190000,19,8,1.0698542597512537,0.433811573869189,2.4661726984579166
2,12.268097140497503,100000,1900000,19,8,0.3383176225247368,0.13718326487690213,2.466172698457916
3,19.38484062202805,100,1900,19,8,4.3364790695455095,1.695309966209068,2.5579269608391653
3,19.38484062202805,1000,19000,19,8,1.3713150885411525,0.5361040833203746,2.5579269608391653
3,19.38484062202805,10000,190000,19,8,0.4336479069545509,0.16953099662090682,2.557926960839165
3,19.38484062202805,100000,1900000,19,8,0.13713150885411526,0.053610408332037465,2.5579269608391653
4,25.177918304666445,100,1900,19,8,2.568535503749609,0.9972645973883014,2.575580754070935
4,25.177918304666445,1000,19000,19,8,0.8122422442856724,0.3153627557597839,2.575580754070935
4,25.177918304666445,10000,190000,19,8,0.2568535503749609,0.09972645973883015,2.5755807540709346
4,25.177918304666445,100000,1900000,19,8,0.08122422442856723,0.03153627557597839,2.575580754070935
