damage_fraction,damaged_element_score,strongest_competitor_element,strongest_competitor_score,exact_localization_margin,target_variance_coefficient,margin_variance_coefficient,shots_per_term_detection_80pct_power,shots_per_term_localization_80pct_power,nonidentity_measurement_settings_per_trial,total_shots_detection,total_shots_localization,localization_snr_at_100k_shots_per_term
0.02,0.005623753594978836,2,0.002055722384778423,0.003568031210200413,10.261560523486795,19.239249385900784,2546645.6395322764,15166756.380117917,648,1650226374.4169152,9828058134.31641,0.2572376790668363
0.05,0.014564751704421286,2,0.0052188780215414185,0.009345873682879868,10.400744792099273,19.396624295030165,384827.36229373567,2228682.566306335,648,249368130.7663407,1444186302.966505,0.6710530119709336
0.1,0.030944678473887828,2,0.010699188787319638,0.02024548968656819,10.673338419529,19.71041378927243,87485.48529317496,482615.25581447216,648,56690594.46997738,312734685.767778,1.4420503186710487
0.2,0.07030790599542511,2,0.022393089059620445,0.04791481693580466,11.447139572566215,20.617661822726795,18175.916794709607,90128.39169698417,648,11777994.082971824,58403197.81964574,3.3369532878983246
