story,exact_damage_index,quantum_damage_index
1,0.033482634072870485,0.033482621285265426
2,0.04245973115010538,0.042459636807109645
3,0.12257532085834813,0.12257533112390889
4,0.04785088339824277,0.047850929071606714
5,0.016115308493734586,0.016115313534819115
6,0.03873018331901757,0.03873017695190437
