,Story 1,Story 2,Story 3,Story 4,Story 5,Story 6
Mode 1,-0.29174830523478246,-0.26740836356283376,-0.21223180589463717,-0.1402415303895123,-0.06973263722151782,-0.01863735769671095
Mode 2,-0.27190380836991973,-0.0718875819575998,-0.014826823993330912,-0.20267432865170917,-0.3023097363199553,-0.13639772070748613
Mode 3,-0.21180793721958455,-0.015442506617968742,-0.3010771929729728,-0.06928255360515166,-0.13242348798758885,-0.26996632159673345
Mode 4,-0.13791282183001083,-0.20389820246636456,-0.06958276793950009,-0.26612568253595453,-0.019052052801806094,-0.3034284724263646
