delta,probe_edge,canonical,rel_gap,norm_delta,G_r,g_pair,mac_r,mac_r1,eps_sub,sin_individual,sin_subspace,dk_individual,dk_subspace,weyl_ok_individual,weyl_ok_subspace
0.001,0,False,0.0008157556194345255,0.0009861262707232732,0.00022485319060638886,0.1250309828680036,0.8496272169787135,0.8496288768582116,0.002153577203736229,0.3877792967930167,0.0021535767256897847,8.771289996498309,0.01577411051410091,False,True
0.001,1,False,0.0008157556194345255,0.002026185812324487,0.00022485319060638886,0.1250309828680036,0.026548399767109106,0.026548478487252076,0.0035785637188711287,0.9866365086661303,0.0035785636982089693,18.022299855832387,0.032410939526302064,False,True
0.001,2,False,0.0008157556194345255,0.00310446804500966,0.00022485319060638886,0.1250309828680036,0.026640770194894914,0.02664086444691581,0.003898116972031597,0.9865896967864123,0.0038981169445474234,27.613288800905735,0.04965918004958941,False,True
0.001,3,False,0.0008157556194345255,0.003028597440151158,0.00022485319060638886,0.1250309828680036,0.02634865646033233,0.026348764702166523,0.004188902016429736,0.9867377278383895,0.004188902001216489,26.938443096880878,0.0484455511854766,False,True
0.001,4,True,0.0008157556194345255,0.0021020564171829997,0.00022485319060638886,0.1250309828680036,0.026472104351322936,0.026472168641098453,0.0032381773944818097,0.9866751723078254,0.0032381773872818694,18.69714555985734,0.03362456839041505,False,True
0.001,5,False,0.0008157556194345255,0.0031105032067597622,0.00022485319060638886,0.1250309828680036,0.8486647030424785,0.848669067139366,0.0034914169561575024,0.38901837611804596,0.0034914162266012835,27.666969709180385,0.049755718709234655,False,True
0.001,6,False,0.0008157556194345255,0.000985141129593696,0.00022485319060638886,0.1250309828680036,0.8500437882729359,0.8500454440091614,0.002152114352347028,0.38724180007724385,0.002152113831209555,8.762527469029427,0.015758352161939236,False,True
0.001,7,False,0.0008157556194345255,0.003025571868282963,0.00022485319060638886,0.1250309828680036,0.9947234781635912,0.9947408040208107,0.004185369824464668,0.0726396712300435,0.004185369808867214,26.91153156531634,0.04839715403144656,False,True
0.001,8,False,0.0008157556194345255,0.002024161650673784,0.00022485319060638886,0.1250309828680036,0.994754285877383,0.9947668963506728,0.003570628255027686,0.07242730232872811,0.0035706282341330473,18.004295560271853,0.03237856096533626,False,True
0.001,9,False,0.0008157556194345255,0.002099956460722199,0.00022485319060638886,0.1250309828680036,0.9947339708323437,0.9947443392383629,0.003237731905905069,0.07256741119577219,0.0032377318939035174,18.678467092763878,0.033590977413000794,False,True
0.001,10,False,0.0008157556194345255,0.003101366678331283,0.00022485319060638886,0.1250309828680036,0.9947680514398669,0.9947830764452176,0.0038973719781140873,0.07233220970033401,0.0038973719507101197,27.58570309780752,0.04960957047910957,False,True
0.001,11,False,0.0008157556194345255,0.0031073958109488686,0.00022485319060638886,0.1250309828680036,0.8486057922162442,0.8486101557726506,0.0034909308897824592,0.38909408603030166,0.003490930179810761,27.639330378802075,0.049706012696539,False,True
0.002,0,False,0.0016300317924974835,0.0009866183104876383,0.0004494816478137764,0.12491865573698346,0.9450522356168037,0.9450532979489631,0.0021543108055568265,0.23440939482707654,0.002154308791621523,4.390027113616001,0.015796172391815768,False,True
0.002,1,False,0.0016300317924974835,0.002027196802518284,0.0004494816478137764,0.12491865573698346,0.1468562042639966,0.14685526652835082,0.003582536953561594,0.9236578347721647,0.003582536867843653,9.020153825538019,0.03245626989112902,False,True
0.002,2,False,0.0016300317924974835,0.003106017057312144,0.0004494816478137764,0.12491865573698346,0.1479074259550756,0.1479063095039623,0.0038984924410422938,0.9230886057388664,0.0038984923306890134,13.820439933062584,0.049728634029682015,False,True
0.002,3,False,0.0016300317924974835,0.0030301085958874697,0.0004494816478137764,0.12491865573698346,0.14354002454402834,0.14353878223617825,0.004190667823708483,0.9254512280266161,0.004190667762457251,13.48267992976152,0.04851330776833479,False,True
0.002,4,True,0.0016300317924974835,0.0021031052639429912,0.0004494816478137764,0.12491865573698346,0.1470698173813141,0.1470690471764572,0.003238403564766914,0.9235421931989279,0.003238403515056513,9.35791382883923,0.03367159615247677,False,True
0.002,5,False,0.0016300317924974835,0.003112055230380134,0.0004494816478137764,0.12491865573698346,0.9446745509117173,0.9446773281620925,0.003491667133739335,0.23521362436789825,0.0034916642472964483,13.847307206052967,0.049825307709563796,False,True
