depolarizing_probability,readout_flip_probability,frequency_bias_pct,frequency_rmse_pct,frequency_std_pct
0.0,0.0,-0.3882214114841536,7.505840454444607,7.508318133948358
0.0,0.002,11.223076961078801,12.739590167213438,6.038314219740288
0.0,0.01,48.874282908382874,49.12521542234469,4.967243249677049
0.0,0.02,84.51747017334432,84.61116103084493,3.987330246385998
0.001,0.0,1.3141863693455835,7.282831807501906,7.175246839914293
0.001,0.002,13.160178536762851,14.742508053144634,6.6557424531680764
0.001,0.01,49.26667365299026,49.56150238227422,5.406924727417171
0.001,0.02,84.7879470426036,84.87746159277513,3.903628712374254
0.005,0.0,7.425216035062407,10.258847938276672,7.090678405779157
0.005,0.002,17.992956893480823,18.97995719057022,6.050977188438453
0.005,0.01,54.102070650067695,54.32480632533743,4.922530312358675
0.005,0.02,88.30217449404265,88.39682928234743,4.096503949892872
0.01,0.0,14.52087381230897,15.883012198369531,6.446146879015471
0.01,0.002,23.8223825321772,24.412689626452256,5.3449728159069085
0.01,0.01,59.07518101371361,59.26726458874257,4.775737176701276
0.01,0.02,91.62985321219647,91.71244780715197,3.8979133974156355
0.02,0.0,27.166893790766593,27.788206691341152,5.853076789882803
0.02,0.002,36.509265550562496,36.92159936492809,5.5117413702517855
0.02,0.01,67.77547405818329,67.9121107965565,4.312993788196173
0.02,0.02,99.3865012682349,99.45780078166678,3.7715936127140335
