depth,mode,f_exact,f_q,err,mac,var,overlap,leak,res,beta_min,beta_max
1,1,1.2795294596038347,2.917143623331149,127.98565530756511,0.4095305056281011,0.007066238878975086,0.0,0.002375494192473533,0.3087519151438727,0.8073997479635023,1.0177860819226805
1,2,3.55039347189842,2.99605313930183,15.613490081711436,0.3858831023740536,0.011562161944451154,0.000705421640577892,4.568184044298491e-06,0.4792805377961791,0.8073997479635023,1.0177860819226805
1,3,5.657967993397318,5.3267656591721195,5.8537329057305065,0.8552582180438806,0.008692908875618677,0.00893435759289524,1.4042064440125011e-05,0.14786284890108087,0.8073997479635023,1.0177860819226805
1,4,7.44457750377457,7.783900157534312,4.557984030493299,0.8599383743227489,0.024121310206671957,0.011938007888848433,0.039198766294982576,0.07360339998367998,0.8073997479635023,1.0177860819226805
2,1,1.2795294596038347,1.2795294596038465,9.197415481680552e-13,0.9999999999999989,1.884556253800754e-16,0.0,2.1713911481517294e-17,3.914829458146934e-07,0.6773858789230862,0.9844496673358272
2,2,3.55039347189842,3.5503934718984222,6.254084418601145e-14,0.9999999999999984,1.7318320360941998e-16,1.4036807760680082e-17,6.90799754341538e-17,3.60697343453256e-08,0.6773858789230862,0.9844496673358272
2,3,5.657967993397318,5.657967993397321,4.709350180506163e-14,0.9999999999999993,1.7274926664322747e-16,2.3604883673379582e-17,5.98120819961752e-17,1.7341051445508105e-08,0.6773858789230862,0.9844496673358272
2,4,7.44457750377457,7.4445775037745605,1.3123595814198702e-13,0.9999999999999873,2.1436865055391124e-15,2.388026203608307e-15,2.590594289917698e-16,3.8623957016186474e-08,0.6773858789230862,0.9844496673358272
