projector_angle_rad,sin_theta,operator_perturbation,davis_kahan_bound,weyl_condition_met,spectral_separation
0.0,0.0,0.0,0.0,True,0.05000000000000049
0.005,0.06774637941684851,0.0034085629012557232,0.1363425160502276,True,0.05000000000000049
0.01,0.13304963474215878,0.006817040588616268,0.27268162354464803,True,0.05000000000000049
0.015,0.19395008067471536,0.010225347850317208,0.40901391401268433,True,0.05000000000000049
0.02,0.24924141725557983,0.01363339947885445,0.5453359791541726,True,0.05000000000000049
0.025,0.29846944950871035,0.017041110273114807,0.6816444109245856,True,0.05000000000000049
0.03,0.34175287555633405,0.020448395040505864,0.8179358016202266,True,0.05000000000000049
0.035,0.3795570304685798,0.023855168599086016,0.9542067439634313,True,0.05000000000000049
0.04,0.4125048312880666,0.02726134577969357,1.0,False,0.05000000000000049
0.06,0.5081017313956295,0.04087838790570057,1.0,False,0.05000000000000049
0.08,0.5677255434673616,0.054479079221583224,1.0,False,0.05000000000000049
0.1,0.608430449696379,0.06805797963215524,1.0,False,0.05000000000000049
0.12,0.638458953796619,0.081609657758302,1.0,False,0.05000000000000049
0.14,0.6619957070348234,0.09512869310945983,1.0,False,0.05000000000000049
0.16,0.681323535349239,0.10860967825173941,1.0,False,0.05000000000000049
0.18000000000000002,0.697773608775707,0.12204722097082812,1.0,False,0.05000000000000049
0.2,0.7121675083683391,0.13543594642880288,1.0,False,0.05000000000000049
