depth,range,slope,ci_lo,ci_hi
2,all,-0.4210230678585301,-0.49170133748771316,-0.3630466967118808
2,nq>=7,-0.24249563891987813,-0.5136087684448374,0.011159971430381466
4,all,-0.6163715321048121,-0.6692643373915933,-0.5683347168148655
4,nq>=7,-0.18662460805977518,-0.368388351702741,-0.014686196484953179
8,all,-0.7328264522725594,-0.7735332725652362,-0.69307734134278
8,nq>=7,-0.7754331151354378,-0.9127360606369497,-0.6436118184570344
