shots_per_pauli,mode,f_exact,mean_f,std_f,rmse_pct,bias_pct
100,1,4.481363203242099,3.999552512145482,2.835730029870278,64.10713674370712,-10.751431411496498
100,2,12.268097140497503,12.152741337398497,1.3195662360490255,10.783698444473659,-0.9402909169850867
100,3,19.38484062202805,19.30129741271662,0.9121942705868553,4.719542203635634,-0.4309718658016436
100,4,25.177918304666445,25.11555664161845,0.6192112634198668,2.468722809071221,-0.2476839518398007
1000,1,4.481363203242099,4.265991691184473,1.1641482649097792,26.386415787182663,-4.805937441129802
1000,2,12.268097140497503,12.291089331383922,0.3850959305098968,3.140673546755861,0.1874144834615119
1000,3,19.38484062202805,19.380298326115724,0.2792707571984353,1.4390545654699283,-0.02343220664483982
1000,4,25.177918304666445,25.163919718410924,0.2097222043423524,0.8337748155109763,-0.05559866421890382
10000,1,4.481363203242099,4.451788059198822,0.351848093571691,7.869265341872441,-0.6599586487852583
10000,2,12.268097140497503,12.273693514659444,0.12622127560444898,1.0285829866834106,0.0456172958026822
10000,3,19.38484062202805,19.387826960020956,0.08635248821331289,0.44517347010246583,0.015405532865259515
10000,4,25.177918304666445,25.17947874830874,0.06455585712970922,0.25615299644776335,0.0061976674298955346
100000,1,4.481363203242099,4.471427597308184,0.0997315117510674,2.23371925479647,-0.22170945498742506
100000,2,12.268097140497503,12.270170758169284,0.04142642931173029,0.3376770147080722,0.016902520806885302
100000,3,19.38484062202805,19.384621907449397,0.02850347952063903,0.14686046996921562,-0.0011282763831741932
100000,4,25.177918304666445,25.178019579734183,0.019967899456964738,0.0792090150982652,0.000402237653299165
