target_mode,beta,threshold,beta_over_threshold,target_overlap,recovered_mode,ground_value
2,0.0,0.13422052801404777,0.0,2.5915313331674646e-30,1,0.020667268230907254
2,0.001398130500146331,0.13422052801404777,0.010416666666666668,4.075267762323391e-31,1,0.022065398731053287
2,0.002796261000292662,0.13422052801404777,0.020833333333333336,1.1093356479670479e-31,1,0.023463529231199542
2,0.004194391500438993,0.13422052801404777,0.03125,2.3303752327085554e-30,1,0.024861659731346242
2,0.005592522000585324,0.13422052801404777,0.04166666666666667,5.61601171783318e-31,1,0.026259790231492275
2,0.006990652500731656,0.13422052801404777,0.05208333333333334,4.075267762323391e-31,1,0.027657920731638752
2,0.008388783000877986,0.13422052801404777,0.0625,4.930380657631324e-30,1,0.02905605123178523
2,0.009786913501024317,0.13422052801404777,0.07291666666666667,6.240013019814644e-32,1,0.030454181731931262
2,0.011185044001170649,0.13422052801404777,0.08333333333333334,2.7733391199176196e-30,1,0.03185231223207774
2,0.01258317450131698,0.13422052801404777,0.09375000000000001,3.774822690998982e-32,1,0.033250442732223995
2,0.013981305001463312,0.13422052801404777,0.10416666666666669,1.3019286424057714e-31,1,0.03464857323237047
2,0.015379435501609641,0.13422052801404777,0.11458333333333334,8.905500062846579e-31,1,0.036046703732516616
2,0.01677756600175597,0.13422052801404777,0.125,2.7733391199176196e-30,1,0.03744483423266276
2,0.018175696501902303,0.13422052801404777,0.13541666666666666,2.7733391199176196e-32,1,0.038842964732809016
2,0.019573827002048634,0.13422052801404777,0.14583333333333334,7.703719777548943e-32,1,0.04024109523295527
2,0.020971957502194966,0.13422052801404777,0.15625,1.4914401489334754e-30,1,0.04163922573310164
2,0.022370088002341297,0.13422052801404777,0.16666666666666669,4.075267762323391e-31,1,0.043037356233248
2,0.02376821850248763,0.13422052801404777,0.17708333333333334,5.61601171783318e-31,1,0.04443548673339426
2,0.02516634900263396,0.13422052801404777,0.18750000000000003,6.240013019814644e-30,1,0.04583361723354051
2,0.02656447950278029,0.13422052801404777,0.19791666666666669,4.075267762323391e-31,1,0.0472317477336871
2,0.027962610002926623,0.13422052801404777,0.20833333333333337,3.0814879110195774e-31,1,0.04862987823383347
2,0.02936074050307295,0.13422052801404777,0.21875,6.807006795442246e-30,1,0.0500280087339795
2,0.030758871003219283,0.13422052801404777,0.22916666666666669,4.930380657631324e-32,1,0.05142613923412598
2,0.03215700150336562,0.13422052801404777,0.23958333333333337,6.240013019814644e-32,1,0.052824269734272344
2,0.03355513200351194,0.13422052801404777,0.25,2.4960052079258577e-31,1,0.05422240023441882
2,0.034953262503658274,0.13422052801404777,0.2604166666666667,7.403274706224535e-31,1,0.055620530734564966
2,0.036351393003804605,0.13422052801404777,0.2708333333333333,1.0909237576987059e-29,1,0.05701866123471089
2,0.03774952350395094,0.13422052801404777,0.28125,8.332343311396937e-30,1,0.058416791734857476
2,0.03914765400409727,0.13422052801404777,0.2916666666666667,3.397340421899084e-31,1,0.05981492223500373
2,0.0405457845042436,0.13422052801404777,0.30208333333333337,3.774822690998982e-30,1,0.061213052735149986
2,0.04194391500438993,0.13422052801404777,0.3125,6.662947235602081e-30,1,0.06261118323529646
2,0.04334204550453626,0.13422052801404777,0.3229166666666667,1.9721522630525295e-31,1,0.06400931373544283
2,0.044740176004682594,0.13422052801404777,0.33333333333333337,2.7733391199176196e-30,1,0.0654074442355892
2,0.046138306504828926,0.13422052801404777,0.34375000000000006,1.925929944387236e-30,1,0.06680557473573523
2,0.04753643700497526,0.13422052801404777,0.3541666666666667,1.0366125332669858e-29,1,0.06820370523588148
2,0.04893456750512159,0.13422052801404777,0.36458333333333337,2.8993719754783203e-29,1,0.06960183573602763
2,0.05033269800526792,0.13422052801404777,0.37500000000000006,3.397340421899084e-29,1,0.07099996623617388
2,0.05173082850541425,0.13422052801404777,0.38541666666666674,7.703719777548943e-30,1,0.0723980967363207
2,0.05312895900556058,0.13422052801404777,0.39583333333333337,1.7749370367472766e-30,1,0.07379622723646717
2,0.054527089505706915,0.13422052801404777,0.40625000000000006,2.468348853924457e-29,1,0.07519435773661298
2,0.055925220005853246,0.13422052801404777,0.41666666666666674,3.458199808141721e-30,1,0.07659248823675935
2,0.05732335050599957,0.13422052801404777,0.42708333333333337,6.662947235602081e-30,1,0.07799061873690571
2,0.0587214810061459,0.13422052801404777,0.4375,3.365061836031154e-29,1,0.07938874923705186
2,0.060119611506292234,0.13422052801404777,0.4479166666666667,3.8834451398624224e-30,1,0.08078687973719845
2,0.061517742006438565,0.13422052801404777,0.45833333333333337,1.404002929458295e-29,1,0.08218501023734565
2,0.0629158725065849,0.13422052801404777,0.46875000000000006,1.1279016126309408e-29,1,0.0835831407374919
2,0.06431400300673124,0.13422052801404777,0.47916666666666674,1.4914401489334754e-30,1,0.08498127123763816
2,0.06571213350687756,0.13422052801404777,0.48958333333333337,6.039716305598372e-31,1,0.08637940173778466
2,0.06711026400702388,0.13422052801404777,0.5,5.207714569623086e-29,1,0.08777753223793094
2,0.06850839450717022,0.13422052801404777,0.5104166666666667,4.075267762323391e-29,1,0.08917566273807737
2,0.06990652500731655,0.13422052801404777,0.5208333333333334,1.9968812035384616e-29,1,0.09057379323822357
2,0.07130465550746289,0.13422052801404777,0.5312500000000001,1.6646968067305512e-29,1,0.09197192373836988
2,0.07270278600760921,0.13422052801404777,0.5416666666666666,1.0726659418259149e-29,1,0.09337005423851635
2,0.07410091650775555,0.13422052801404777,0.5520833333333334,2.959460989743202e-29,1,0.09476818473866289
2,0.07549904700790187,0.13422052801404777,0.5625,3.050750069107157e-29,1,0.09616631523880903
2,0.07689717750804821,0.13422052801404777,0.5729166666666667,1.3220353510251742e-29,1,0.09756444573895506
